DateGMT;Attendance;Home_Team_Name;AwayTeamName;Referee;HomeTeamGoalCount ;AwayTeamGoalCount;HomeTeamPossession;AwayTeamPossession;StadiumName;;;;;;;;;;;;;;;;;;
Dec 10 2018 - 8:00pm;38400;Everton;Watford;Kevin Friend;2;2;56;44;Goodison Park (Liverpool);;;;;;;;;;;;;;;;;;
Dec 15 2018 - 12:30pm;54173;Manchester City;Everton;Craig Pawson;3;1;67;33;Etihad Stadium (Manchester);;;;;;;;;;;;;;;;;;
Dec 15 2018 - 3:00pm;24738;Crystal Palace;Leicester City;Michael Oliver;1;0;43;57;Selhurst Park (London);;;;;;;;;;;;;;;;;;
Dec 15 2018 - 3:00pm;24036;Huddersfield Town;Newcastle United;Anthony Taylor;0;1;73;27;John Smith's Stadium (Huddersfield- West Yorkshire);;;;;;;;;;;;;;;;;;
Dec 15 2018 - 3:00pm;41645;Tottenham Hotspur;Burnley;Graham Scott;1;0;70;30;Wembley Stadium (London);;;;;;;;;;;;;;;;;;
Dec 15 2018 - 3:00pm;20032;Watford;Cardiff City;Andy Madley;3;2;71;29;Vicarage Road (Watford);;;;;;;;;;;;;;;;;;
Dec 15 2018 - 3:00pm;30997;Wolverhampton Wanderers;AFC Bournemouth;Simon Hooper;2;0;37;63;Molineux Stadium (Wolverhampton- West Midlands);;;;;;;;;;;;;;;;;;
Dec 15 2018 - 5:30pm;24081;Fulham;West Ham United;Mike Dean;0;2;56;44;Craven Cottage (London);;;;;;;;;;;;;;;;;;
Dec 16 2018 - 1:30pm;30645;Brighton & Hove Albion;Chelsea;Stuart Attwell;1;2;41;59;The American Express Community Stadium (Falmer- East Sussex);;;;;;;;;;;;;;;;;;
Dec 16 2018 - 1:30pm;29497;Southampton;Arsenal;Chris Kavanagh;3;2;33;67;St. Mary's Stadium (Southampton- Hampshire);;;;;;;;;;;;;;;;;;
Dec 16 2018 - 4:00pm;52908;Liverpool;Manchester United;Martin Atkinson;3;1;64;36;Anfield (Liverpool);;;;;;;;;;;;;;;;;;
Dec 21 2018 - 8:00pm;31358;Wolverhampton Wanderers;Liverpool;Craig Pawson;0;2;38;62;Molineux Stadium (Wolverhampton- West Midlands);;;;;;;;;;;;;;;;;;
Dec 22 2018 - 12:30pm;59493;Arsenal;Burnley;Kevin Friend;3;1;60;40;Emirates Stadium (London);;;;;;;;;;;;;;;;;;
Dec 22 2018 - 3:00pm;10491;AFC Bournemouth;Brighton & Hove Albion;Mike Dean;2;0;57;43;Vitality Stadium (Bournemouth- Dorset);;;;;;;;;;;;;;;;;;
Dec 22 2018 - 3:00pm;40558;Chelsea;Leicester City;Lee Probert;0;1;72;28;Stamford Bridge (London);;;;;;;;;;;;;;;;;;
Dec 22 2018 - 3:00pm;22394;Huddersfield Town;Southampton;Stuart Attwell;1;3;62;38;John Smith's Stadium (Huddersfield- West Yorkshire);;;;;;;;;;;;;;;;;;
Dec 22 2018 - 3:00pm;54340;Manchester City;Crystal Palace;Andre Marriner;2;3;78;22;Etihad Stadium (Manchester);;;;;;;;;;;;;;;;;;
Dec 22 2018 - 3:00pm;51237;Newcastle United;Fulham;Martin Atkinson;0;0;53;47;St. James' Park (Newcastle upon Tyne);;;;;;;;;;;;;;;;;;
Dec 22 2018 - 3:00pm;56833;West Ham United;Watford;Lee Mason;0;2;51;49;London Stadium (London);;;;;;;;;;;;;;;;;;
Dec 22 2018 - 5:30pm;33028;Cardiff City;Manchester United;Michael Oliver;1;5;25;75;Cardiff City Stadium (Cardiff (Caerdydd));;;;;;;;;;;;;;;;;;
Dec 23 2018 - 4:00pm;39319;Everton;Tottenham Hotspur;Paul Tierney;2;6;41;59;Goodison Park (Liverpool);;;;;;;;;;;;;;;;;;
Dec 26 2018 - 12:30pm;24382;Fulham;Wolverhampton Wanderers;Andre Marriner;1;1;29;71;Craven Cottage (London);;;;;;;;;;;;;;;;;;
Dec 26 2018 - 3:00pm;21484;Burnley;Everton;Michael Oliver;1;5;49;51;Turf Moor (Burnley);;;;;;;;;;;;;;;;;;
Dec 26 2018 - 3:00pm;25206;Crystal Palace;Cardiff City;Lee Probert;0;0;62;38;Selhurst Park (London);;;;;;;;;;;;;;;;;;
Dec 26 2018 - 3:00pm;32090;Leicester City;Manchester City;Mike Dean;2;1;33;67;King Power Stadium (Leicester- Leicestershire);;;;;;;;;;;;;;;;;;
Dec 26 2018 - 3:00pm;53318;Liverpool;Newcastle United;Graham Scott;4;0;75;25;Anfield (Liverpool);;;;;;;;;;;;;;;;;;
Dec 26 2018 - 3:00pm;74523;Manchester United;Huddersfield Town;Jonathan Moss;3;1;64;36;Old Trafford (Manchester);;;;;;;;;;;;;;;;;;
Dec 26 2018 - 3:00pm;45154;Tottenham Hotspur;AFC Bournemouth;Chris Kavanagh;5;0;56;44;Wembley Stadium (London);;;;;;;;;;;;;;;;;;
Dec 26 2018 - 5:15pm;30608;Brighton & Hove Albion;Arsenal;Anthony Taylor;1;1;32;68;The American Express Community Stadium (Falmer- East Sussex);;;;;;;;;;;;;;;;;;
Dec 26 2018 - 7:30pm;20415;Watford;Chelsea;Martin Atkinson;1;2;35;65;Vicarage Road (Watford);;;;;;;;;;;;;;;;;;
Dec 27 2018 - 7:45pm;31654;Southampton;West Ham United;Craig Pawson;1;2;45;55;St. Mary's Stadium (Southampton- Hampshire);;;;;;;;;;;;;;;;;;
Dec 29 2018 - 3:00pm;30597;Brighton & Hove Albion;Everton;Andy Madley;1;0;44;56;The American Express Community Stadium (Falmer- East Sussex);;;;;;;;;;;;;;;;;;
Dec 29 2018 - 3:00pm;24423;Fulham;Huddersfield Town;Kevin Friend;1;0;43;57;Craven Cottage (London);;;;;;;;;;;;;;;;;;
Dec 29 2018 - 3:00pm;32047;Leicester City;Cardiff City;Simon Hooper;0;1;62;38;King Power Stadium (Leicester- Leicestershire);;;;;;;;;;;;;;;;;;
Dec 29 2018 - 3:00pm;46356;Tottenham Hotspur;Wolverhampton Wanderers;Stuart Attwell;1;3;60;40;Wembley Stadium (London);;;;;;;;;;;;;;;;;;
Dec 29 2018 - 3:00pm;20336;Watford;Newcastle United;Roger East;1;1;62;38;Vicarage Road (Watford);;;;;;;;;;;;;;;;;;
Dec 29 2018 - 5:30pm;53326;Liverpool;Arsenal;Michael Oliver;5;1;47;53;Anfield (Liverpool);;;;;;;;;;;;;;;;;;
Dec 30 2018 - 12:00pm;25781;Crystal Palace;Chelsea;Craig Pawson;0;1;34;66;Selhurst Park (London);;;;;;;;;;;;;;;;;;
Dec 30 2018 - 2:15pm;20933;Burnley;West Ham United;David Coote;2;0;43;57;Turf Moor (Burnley);;;;;;;;;;;;;;;;;;
Dec 30 2018 - 2:15pm;31381;Southampton;Manchester City;Paul Tierney;1;3;23;77;St. Mary's Stadium (Southampton- Hampshire);;;;;;;;;;;;;;;;;;
Dec 30 2018 - 4:30pm;74556;Manchester United;AFC Bournemouth;Lee Mason;4;1;64;36;Old Trafford (Manchester);;;;;;;;;;;;;;;;;;
Jan 01 2019 - 12:30pm;39052;Everton;Leicester City;Martin Atkinson;0;1;59;41;Goodison Park (Liverpool);;;;;;;;;;;;;;;;;;
Jan 01 2019 - 3:00pm;59887;Arsenal;Fulham;Graham Scott;4;1;59;41;Emirates Stadium (London);;;;;;;;;;;;;;;;;;
Jan 01 2019 - 5:30pm;32485;Cardiff City;Tottenham Hotspur;Kevin Friend;0;3;26;74;Cardiff City Stadium (Cardiff (Caerdydd));;;;;;;;;;;;;;;;;;
Jan 02 2019 - 7:45pm;40668;Chelsea;Southampton;Jonathan Moss;0;0;71;29;Stamford Bridge (London);;;;;;;;;;;;;;;;;;
Jan 02 2019 - 7:45pm;23715;Huddersfield Town;Burnley;Mike Dean;1;2;42;58;John Smith's Stadium (Huddersfield- West Yorkshire);;;;;;;;;;;;;;;;;;
Jan 02 2019 - 7:45pm;59870;West Ham United;Brighton & Hove Albion;Chris Kavanagh;2;2;54;46;London Stadium (London);;;;;;;;;;;;;;;;;;
Jan 02 2019 - 7:45pm;30666;Wolverhampton Wanderers;Crystal Palace;Roger East;0;2;51;49;Molineux Stadium (Wolverhampton- West Midlands);;;;;;;;;;;;;;;;;;
Jan 02 2019 - 8:00pm;10261;AFC Bournemouth;Watford;David Coote;3;3;57;43;Vitality Stadium (Bournemouth- Dorset);;;;;;;;;;;;;;;;;;
Jan 02 2019 - 8:00pm;52217;Newcastle United;Manchester United;Andre Marriner;0;2;34;66;St. James' Park (Newcastle upon Tyne);;;;;;;;;;;;;;;;;;
Jan 03 2019 - 8:00pm;54511;Manchester City;Liverpool;Anthony Taylor;2;1;49;51;Etihad Stadium (Manchester);;;;;;;;;;;;;;;;;;
Jan 12 2019 - 12:30pm;59946;West Ham United;Arsenal;Jonathan Moss;1;0;41;59;London Stadium (London);;;;;;;;;;;;;;;;;;
Jan 12 2019 - 3:00pm;30862;Brighton & Hove Albion;Liverpool;Kevin Friend;0;1;29;71;The American Express Community Stadium (Falmer- East Sussex);;;;;;;;;;;;;;;;;;
Jan 12 2019 - 3:00pm;19316;Burnley;Fulham;Martin Atkinson;2;1;41;59;Turf Moor (Burnley);;;;;;;;;;;;;;;;;;
Jan 12 2019 - 3:00pm;30725;Cardiff City;Huddersfield Town;Lee Mason;0;0;38;62;Cardiff City Stadium (Cardiff (Caerdydd));;;;;;;;;;;;;;;;;;
Jan 12 2019 - 3:00pm;25010;Crystal Palace;Watford;Paul Tierney;1;2;55;45;Selhurst Park (London);;;;;;;;;;;;;;;;;;
Jan 12 2019 - 3:00pm;31491;Leicester City;Southampton;Michael Oliver;1;2;71;29;King Power Stadium (Leicester- Leicestershire);;;;;;;;;;;;;;;;;;
Jan 12 2019 - 5:30pm;40491;Chelsea;Newcastle United;Chris Kavanagh;2;1;65;35;Stamford Bridge (London);;;;;;;;;;;;;;;;;;
Jan 13 2019 - 2:15pm;38113;Everton;AFC Bournemouth;Anthony Taylor;2;0;50;50;Goodison Park (Liverpool);;;;;;;;;;;;;;;;;;
Jan 13 2019 - 4:30pm;80062;Tottenham Hotspur;Manchester United;Mike Dean;0;1;61;39;Wembley Stadium (London);;;;;;;;;;;;;;;;;;
Jan 14 2019 - 8:00pm;54171;Manchester City;Wolverhampton Wanderers;Craig Pawson;3;0;76;24;Etihad Stadium (Manchester);;;;;;;;;;;;;;;;;;
Jan 19 2019 - 12:30pm;31278;Wolverhampton Wanderers;Leicester City;Chris Kavanagh;4;3;45;55;Molineux Stadium (Wolverhampton- West Midlands);;;;;;;;;;;;;;;;;;
Jan 19 2019 - 3:00pm;10495;AFC Bournemouth;West Ham United;Simon Hooper;2;0;38;62;Vitality Stadium (Bournemouth- Dorset);;;;;;;;;;;;;;;;;;
Jan 19 2019 - 3:00pm;53171;Liverpool;Crystal Palace;Jonathan Moss;4;3;70;30;Anfield (Liverpool);;;;;;;;;;;;;;;;;;
Jan 19 2019 - 3:00pm;74532;Manchester United;Brighton & Hove Albion;Paul Tierney;2;1;56;44;Old Trafford (Manchester);;;;;;;;;;;;;;;;;;
Jan 19 2019 - 3:00pm;49864;Newcastle United;Cardiff City;Stuart Attwell;3;0;53;47;St. James' Park (Newcastle upon Tyne);;;;;;;;;;;;;;;;;;
Jan 19 2019 - 3:00pm;29989;Southampton;Everton;Graham Scott;2;1;39;61;St. Mary's Stadium (Southampton- Hampshire);;;;;;;;;;;;;;;;;;
Jan 19 2019 - 3:00pm;19510;Watford;Burnley;Michael Oliver;0;0;54;46;Vicarage Road (Watford);;;;;;;;;;;;;;;;;;
Jan 19 2019 - 5:30pm;59979;Arsenal;Chelsea;Anthony Taylor;2;0;35;65;Emirates Stadium (London);;;;;;;;;;;;;;;;;;
Jan 20 2019 - 1:30pm;24190;Huddersfield Town;Manchester City;Andre Marriner;0;3;32;68;John Smith's Stadium (Huddersfield- West Yorkshire);;;;;;;;;;;;;;;;;;
Jan 20 2019 - 4:00pm;24807;Fulham;Tottenham Hotspur;Craig Pawson;1;2;26;74;Craven Cottage (London);;;;;;;;;;;;;;;;;;
Jan 29 2019 - 7:45pm;59933;Arsenal;Cardiff City;Mike Dean;2;1;70;30;Emirates Stadium (London);;;;;;;;;;;;;;;;;;
Jan 29 2019 - 7:45pm;22008;Fulham;Brighton & Hove Albion;Lee Probert;4;2;61;39;Craven Cottage (London);;;;;;;;;;;;;;;;;;
Jan 29 2019 - 7:45pm;23699;Huddersfield Town;Everton;Stuart Attwell;0;1;58;42;John Smith's Stadium (Huddersfield- West Yorkshire);;;;;;;;;;;;;;;;;;
Jan 29 2019 - 7:45pm;31122;Wolverhampton Wanderers;West Ham United;David Coote;3;0;54;46;Molineux Stadium (Wolverhampton- West Midlands);;;;;;;;;;;;;;;;;;
Jan 29 2019 - 8:00pm;74529;Manchester United;Burnley;Jonathan Moss;2;2;74;26;Old Trafford (Manchester);;;;;;;;;;;;;;;;;;
Jan 29 2019 - 8:00pm;50861;Newcastle United;Manchester City;Paul Tierney;2;1;23;77;St. James' Park (Newcastle upon Tyne);;;;;;;;;;;;;;;;;;
Jan 30 2019 - 7:45pm;10227;AFC Bournemouth;Chelsea;Roger East;4;0;32;68;Vitality Stadium (Bournemouth- Dorset);;;;;;;;;;;;;;;;;;
Jan 30 2019 - 7:45pm;28339;Southampton;Crystal Palace;Andre Marriner;1;1;58;42;St. Mary's Stadium (Southampton- Hampshire);;;;;;;;;;;;;;;;;;
Jan 30 2019 - 8:00pm;53092;Liverpool;Leicester City;Martin Atkinson;1;1;72;28;Anfield (Liverpool);;;;;;;;;;;;;;;;;;
Jan 30 2019 - 8:00pm;29164;Tottenham Hotspur;Watford;Graham Scott;2;1;68;32;Wembley Stadium (London);;;;;;;;;;;;;;;;;;
Feb 02 2019 - 12:30pm;41219;Tottenham Hotspur;Newcastle United;Andre Marriner;1;0;71;29;Wembley Stadium (London);;;;;;;;;;;;;;;;;;
Feb 02 2019 - 3:00pm;30414;Brighton & Hove Albion;Watford;Simon Hooper;0;0;55;45;The American Express Community Stadium (Falmer- East Sussex);;;;;;;;;;;;;;;;;;
Feb 02 2019 - 3:00pm;19787;Burnley;Southampton;Anthony Taylor;1;1;54;46;Turf Moor (Burnley);;;;;;;;;;;;;;;;;;
Feb 02 2019 - 3:00pm;40626;Chelsea;Huddersfield Town;Paul Tierney;5;0;65;35;Stamford Bridge (London);;;;;;;;;;;;;;;;;;
Feb 02 2019 - 3:00pm;25355;Crystal Palace;Fulham;Michael Oliver;2;0;37;63;Selhurst Park (London);;;;;;;;;;;;;;;;;;
Feb 02 2019 - 3:00pm;39380;Everton;Wolverhampton Wanderers;Lee Mason;1;3;64;36;Goodison Park (Liverpool);;;;;;;;;;;;;;;;;;
Feb 02 2019 - 5:30pm;31939;Cardiff City;AFC Bournemouth;Jonathan Moss;2;0;26;74;Cardiff City Stadium (Cardiff (Caerdydd));;;;;;;;;;;;;;;;;;
Feb 03 2019 - 2:05pm;32148;Leicester City;Manchester United;Mike Dean;0;1;44;56;King Power Stadium (Leicester- Leicestershire);;;;;;;;;;;;;;;;;;
Feb 03 2019 - 4:30pm;54483;Manchester City;Arsenal;Martin Atkinson;3;1;58;42;Etihad Stadium (Manchester);;;;;;;;;;;;;;;;;;
Feb 04 2019 - 8:00pm;59903;West Ham United;Liverpool;Kevin Friend;1;1;26;74;London Stadium (London);;;;;;;;;;;;;;;;;;
Feb 06 2019 - 7:45pm;39322;Everton;Manchester City;Craig Pawson;0;2;38;62;Goodison Park (Liverpool);;;;;;;;;;;;;;;;;;
Feb 09 2019 - 12:30pm;25001;Fulham;Manchester United;Paul Tierney;0;3;51;49;Craven Cottage (London);;;;;;;;;;;;;;;;;;
Feb 09 2019 - 3:00pm;25552;Crystal Palace;West Ham United;Craig Pawson;1;1;57;43;Selhurst Park (London);;;;;;;;;;;;;;;;;;
Feb 09 2019 - 3:00pm;24182;Huddersfield Town;Arsenal;Jonathan Moss;1;2;54;46;John Smith's Stadium (Huddersfield- West Yorkshire);;;;;;;;;;;;;;;;;;
Feb 09 2019 - 3:00pm;53178;Liverpool;AFC Bournemouth;Anthony Taylor;3;0;65;35;Anfield (Liverpool);;;;;;;;;;;;;;;;;;
Feb 09 2019 - 3:00pm;31438;Southampton;Cardiff City;Martin Atkinson;1;2;66;34;St. Mary's Stadium (Southampton- Hampshire);;;;;;;;;;;;;;;;;;
Feb 09 2019 - 3:00pm;20333;Watford;Everton;Lee Probert;1;0;44;56;Vicarage Road (Watford);;;;;;;;;;;;;;;;;;
Feb 09 2019 - 5:30pm;29323;Brighton & Hove Albion;Burnley;Stuart Attwell;1;3;68;32;The American Express Community Stadium (Falmer- East Sussex);;;;;;;;;;;;;;;;;;
Feb 10 2019 - 1:30pm;44154;Tottenham Hotspur;Leicester City;Michael Oliver;3;1;53;47;Wembley Stadium (London);;;;;;;;;;;;;;;;;;
Feb 10 2019 - 4:00pm;54452;Manchester City;Chelsea;Mike Dean;6;0;55;45;Etihad Stadium (Manchester);;;;;;;;;;;;;;;;;;
Feb 11 2019 - 8:00pm;30687;Wolverhampton Wanderers;Newcastle United;Graham Scott;1;1;59;41;Molineux Stadium (Wolverhampton- West Midlands);;;;;;;;;;;;;;;;;;
Feb 22 2019 - 7:45pm;30387;Cardiff City;Watford;Simon Hooper;1;5;35;65;Cardiff City Stadium (Cardiff (Caerdydd));;;;;;;;;;;;;;;;;;
Feb 22 2019 - 7:45pm;59950;West Ham United;Fulham;Lee Mason;3;1;55;45;London Stadium (London);;;;;;;;;;;;;;;;;;
Feb 23 2019 - 12:30pm;21338;Burnley;Tottenham Hotspur;Mike Dean;2;1;30;70;Turf Moor (Burnley);;;;;;;;;;;;;;;;;;
Feb 23 2019 - 3:00pm;10671;AFC Bournemouth;Wolverhampton Wanderers;Roger East;1;1;44;56;Vitality Stadium (Bournemouth- Dorset);;;;;;;;;;;;;;;;;;
Feb 23 2019 - 3:00pm;52174;Newcastle United;Huddersfield Town;Kevin Friend;2;0;54;46;St. James' Park (Newcastle upon Tyne);;;;;;;;;;;;;;;;;;
Feb 23 2019 - 5:30pm;31778;Leicester City;Crystal Palace;Anthony Taylor;1;4;65;35;King Power Stadium (Leicester- Leicestershire);;;;;;;;;;;;;;;;;;
Feb 24 2019 - 2:05pm;59877;Arsenal;Southampton;Graham Scott;2;0;62;38;Emirates Stadium (London);;;;;;;;;;;;;;;;;;
Feb 24 2019 - 2:05pm;74519;Manchester United;Liverpool;Michael Oliver;0;0;35;65;Old Trafford (Manchester);;;;;;;;;;;;;;;;;;
Feb 26 2019 - 7:45pm;31849;Cardiff City;Everton;Kevin Friend;0;3;32;68;Cardiff City Stadium (Cardiff (Caerdydd));;;;;;;;;;;;;;;;;;
Feb 26 2019 - 7:45pm;22714;Huddersfield Town;Wolverhampton Wanderers;David Coote;1;0;49;51;John Smith's Stadium (Huddersfield- West Yorkshire);;;;;;;;;;;;;;;;;;
Feb 26 2019 - 7:45pm;30558;Leicester City;Brighton & Hove Albion;Lee Probert;2;1;49;51;King Power Stadium (Leicester- Leicestershire);;;;;;;;;;;;;;;;;;
Feb 26 2019 - 8:00pm;48323;Newcastle United;Burnley;Craig Pawson;2;0;54;46;St. James' Park (Newcastle upon Tyne);;;;;;;;;;;;;;;;;;
Feb 27 2019 - 7:45pm;59618;Arsenal;AFC Bournemouth;Chris Kavanagh;5;1;64;36;Emirates Stadium (London);;;;;;;;;;;;;;;;;;
Feb 27 2019 - 7:45pm;27597;Southampton;Fulham;Anthony Taylor;2;0;40;60;St. Mary's Stadium (Southampton- Hampshire);;;;;;;;;;;;;;;;;;
Feb 27 2019 - 8:00pm;25754;Crystal Palace;Manchester United;Martin Atkinson;1;3;45;55;Selhurst Park (London);;;;;;;;;;;;;;;;;;
Feb 27 2019 - 8:00pm;40542;Chelsea;Tottenham Hotspur;Andre Marriner;2;0;46;54;Stamford Bridge (London);;;;;;;;;;;;;;;;;;
Feb 27 2019 - 8:00pm;53316;Liverpool;Watford;Graham Scott;5;0;61;39;Anfield (Liverpool);;;;;;;;;;;;;;;;;;
Feb 27 2019 - 8:00pm;53528;Manchester City;West Ham United;Stuart Attwell;1;0;75;25;Etihad Stadium (Manchester);;;;;;;;;;;;;;;;;;
Mar 02 2019 - 12:30pm;81332;Tottenham Hotspur;Arsenal;Anthony Taylor;1;1;60;40;Wembley Stadium (London);;;;;;;;;;;;;;;;;;
Mar 02 2019 - 3:00pm;10699;AFC Bournemouth;Manchester City;Kevin Friend;0;1;18;82;Vitality Stadium (Bournemouth- Dorset);;;;;;;;;;;;;;;;;;
Mar 02 2019 - 3:00pm;30182;Brighton & Hove Albion;Huddersfield Town;Mike Dean;1;0;52;48;The American Express Community Stadium (Falmer- East Sussex);;;;;;;;;;;;;;;;;;
Mar 02 2019 - 3:00pm;19223;Burnley;Crystal Palace;Lee Probert;1;3;56;44;Turf Moor (Burnley);;;;;;;;;;;;;;;;;;
Mar 02 2019 - 3:00pm;74459;Manchester United;Southampton;Stuart Attwell;3;2;64;36;Old Trafford (Manchester);;;;;;;;;;;;;;;;;;
Mar 02 2019 - 3:00pm;31309;Wolverhampton Wanderers;Cardiff City;Andre Marriner;2;0;56;44;Molineux Stadium (Wolverhampton- West Midlands);;;;;;;;;;;;;;;;;;
Mar 02 2019 - 5:30pm;59910;West Ham United;Newcastle United;Chris Kavanagh;2;0;55;45;London Stadium (London);;;;;;;;;;;;;;;;;;
Mar 03 2019 - 12:00pm;20062;Watford;Leicester City;Jonathan Moss;2;1;39;61;Vicarage Road (Watford);;;;;;;;;;;;;;;;;;
Mar 03 2019 - 2:05pm;24900;Fulham;Chelsea;Graham Scott;1;2;36;64;Craven Cottage (London);;;;;;;;;;;;;;;;;;
Mar 03 2019 - 4:15pm;39335;Everton;Liverpool;Martin Atkinson;0;0;42;58;Goodison Park (Liverpool);;;;;;;;;;;;;;;;;;
Mar 09 2019 - 12:30pm;24972;Crystal Palace;Brighton & Hove Albion;Craig Pawson;1;2;62;38;Selhurst Park (London);;;;;;;;;;;;;;;;;;
Mar 09 2019 - 3:00pm;32458;Cardiff City;West Ham United;Graham Scott;2;0;29;71;Cardiff City Stadium (Cardiff (Caerdydd));;;;;;;;;;;;;;;;;;
Mar 09 2019 - 3:00pm;22304;Huddersfield Town;AFC Bournemouth;Anthony Taylor;0;2;56;44;John Smith's Stadium (Huddersfield- West Yorkshire);;;;;;;;;;;;;;;;;;
Mar 09 2019 - 3:00pm;32017;Leicester City;Fulham;David Coote;3;1;52;48;King Power Stadium (Leicester- Leicestershire);;;;;;;;;;;;;;;;;;
Mar 09 2019 - 3:00pm;52242;Newcastle United;Everton;Lee Mason;3;2;45;55;St. James' Park (Newcastle upon Tyne);;;;;;;;;;;;;;;;;;
Mar 09 2019 - 3:00pm;31890;Southampton;Tottenham Hotspur;Kevin Friend;2;1;36;64;St. Mary's Stadium (Southampton- Hampshire);;;;;;;;;;;;;;;;;;
Mar 09 2019 - 5:30pm;54104;Manchester City;Watford;Paul Tierney;3;1;71;29;Etihad Stadium (Manchester);;;;;;;;;;;;;;;;;;
Mar 10 2019 - 12:00pm;53310;Liverpool;Burnley;Andre Marriner;4;2;68;32;Anfield (Liverpool);;;;;;;;;;;;;;;;;;
Mar 10 2019 - 2:05pm;40692;Chelsea;Wolverhampton Wanderers;Michael Oliver;1;1;75;25;Stamford Bridge (London);;;;;;;;;;;;;;;;;;
Mar 10 2019 - 4:30pm;60000;Arsenal;Manchester United;Jonathan Moss;2;0;46;54;Emirates Stadium (London);;;;;;;;;;;;;;;;;;
Mar 16 2019 - 3:00pm;10625;AFC Bournemouth;Newcastle United;Mike Dean;2;2;48;52;Vitality Stadium (Bournemouth- Dorset);;;;;;;;;;;;;;;;;;
Mar 16 2019 - 3:00pm;20719;Burnley;Leicester City;Michael Oliver;1;2;62;38;Turf Moor (Burnley);;;;;;;;;;;;;;;;;;
Mar 16 2019 - 3:00pm;59931;West Ham United;Huddersfield Town;Jonathan Moss;4;3;64;36;London Stadium (London);;;;;;;;;;;;;;;;;;
Mar 17 2019 - 2:15pm;25043;Fulham;Liverpool;Craig Pawson;1;2;37;63;Craven Cottage (London);;;;;;;;;;;;;;;;;;
Mar 17 2019 - 4:30pm;39356;Everton;Chelsea;Anthony Taylor;2;0;32;68;Goodison Park (Liverpool);;;;;;;;;;;;;;;;;;
Mar 30 2019 - 12:30pm;25001;Fulham;Manchester City;Kevin Friend;0;2;34;66;Craven Cottage (London);;;;;;;;;;;;;;;;;;
Mar 30 2019 - 3:00pm;30636;Brighton & Hove Albion;Southampton;Michael Oliver;0;1;60;40;The American Express Community Stadium (Falmer- East Sussex);;;;;;;;;;;;;;;;;;
Mar 30 2019 - 3:00pm;20990;Burnley;Wolverhampton Wanderers;Chris Kavanagh;2;0;37;63;Turf Moor (Burnley);;;;;;;;;;;;;;;;;;
Mar 30 2019 - 3:00pm;25193;Crystal Palace;Huddersfield Town;Lee Probert;2;0;48;52;Selhurst Park (London);;;;;;;;;;;;;;;;;;
Mar 30 2019 - 3:00pm;31530;Leicester City;AFC Bournemouth;Lee Mason;2;0;58;42;King Power Stadium (Leicester- Leicestershire);;;;;;;;;;;;;;;;;;
Mar 30 2019 - 3:00pm;74543;Manchester United;Watford;Stuart Attwell;2;1;51;49;Old Trafford (Manchester);;;;;;;;;;;;;;;;;;
Mar 30 2019 - 5:30pm;59988;West Ham United;Everton;Paul Tierney;0;2;49;51;London Stadium (London);;;;;;;;;;;;;;;;;;
Mar 31 2019 - 1:05pm;32657;Cardiff City;Chelsea;Craig Pawson;1;2;28;72;Cardiff City Stadium (Cardiff (Caerdydd));;;;;;;;;;;;;;;;;;
Mar 31 2019 - 3:30pm;53322;Liverpool;Tottenham Hotspur;Martin Atkinson;2;1;48;52;Anfield (Liverpool);;;;;;;;;;;;;;;;;;
Apr 01 2019 - 7:00pm;59869;Arsenal;Newcastle United;Anthony Taylor;2;0;70;30;Emirates Stadium (London);;;;;;;;;;;;;;;;;;
Apr 02 2019 - 6:45pm;17301;Watford;Fulham;Roger East;4;1;46;54;Vicarage Road (Watford);;;;;;;;;;;;;;;;;;
Apr 02 2019 - 6:45pm;31302;Wolverhampton Wanderers;Manchester United;Mike Dean;2;1;49;51;Molineux Stadium (Wolverhampton- West Midlands);;;;;;;;;;;;;;;;;;
Apr 03 2019 - 6:45pm;38593;Chelsea;Brighton & Hove Albion;Graham Scott;3;0;68;32;Stamford Bridge (London);;;;;;;;;;;;;;;;;;
Apr 03 2019 - 6:45pm;59215;Tottenham Hotspur;Crystal Palace;Andre Marriner;2;0;65;35;Tottenham Hotspur Stadium (London);;;;;;;;;;;;;;;;;;
Apr 03 2019 - 6:45pm;53559;Manchester City;Cardiff City;Jonathan Moss;2;0;78;22;Etihad Stadium (Manchester);;;;;;;;;;;;;;;;;;
Apr 05 2019 - 7:00pm;31797;Southampton;Liverpool;Paul Tierney;1;3;33;67;St. Mary's Stadium (Southampton- Hampshire);;;;;;;;;;;;;;;;;;
Apr 06 2019 - 2:00pm;10446;AFC Bournemouth;Burnley;Martin Atkinson;1;3;59;41;Vitality Stadium (Bournemouth- Dorset);;;;;;;;;;;;;;;;;;
Apr 06 2019 - 2:00pm;24126;Huddersfield Town;Leicester City;David Coote;1;4;44;56;John Smith's Stadium (Huddersfield- West Yorkshire);;;;;;;;;;;;;;;;;;
Apr 06 2019 - 2:00pm;51926;Newcastle United;Crystal Palace;Stuart Attwell;0;1;53;47;St. James' Park (Newcastle upon Tyne);;;;;;;;;;;;;;;;;;
Apr 07 2019 - 1:05pm;39400;Everton;Arsenal;Kevin Friend;1;0;42;58;Goodison Park (Liverpool);;;;;;;;;;;;;;;;;;
Apr 08 2019 - 7:00pm;40537;Chelsea;West Ham United;Chris Kavanagh;2;0;54;46;Stamford Bridge (London);;;;;;;;;;;;;;;;;;
