DateGMT;Attendance;Home_Team_Name;AwayTeamName;Referee;HomeTeamGoalCount ;AwayTeamGoalCount;HomeTeamPossession;AwayTeamPossession;StadiumName;;;;;;;;;;;;;;;;;;
Sep 29 2018 - 2:00pm;23885;Huddersfield Town;Tottenham Hotspur;Craig Pawson;0;2;52;48;John Smith's Stadium (Huddersfield- West Yorkshire);;;;;;;;;;;;;;;;;;
Sep 29 2018 - 2:00pm;54152;Manchester City;Brighton & Hove Albion;Lee Mason;2;0;80;20;Etihad Stadium (Manchester);;;;;;;;;;;;;;;;;;
Sep 29 2018 - 2:00pm;51523;Newcastle United;Leicester City;Simon Hooper;0;2;41;59;St. James' Park (Newcastle upon Tyne);;;;;;;;;;;;;;;;;;
Sep 29 2018 - 2:00pm;31147;Wolverhampton Wanderers;Southampton;Stuart Attwell;2;0;48;52;Molineux Stadium (Wolverhampton- West Midlands);;;;;;;;;;;;;;;;;;
Sep 29 2018 - 4:30pm;40625;Chelsea;Liverpool;Andre Marriner;1;1;47;53;Stamford Bridge (London);;;;;;;;;;;;;;;;;;
Sep 30 2018 - 3:00pm;30411;Cardiff City;Burnley;Martin Atkinson;1;2;54;46;Cardiff City Stadium (Cardiff (Caerdydd));;;;;;;;;;;;;;;;;;
Oct 01 2018 - 7:00pm;10199;AFC Bournemouth;Crystal Palace;Mike Dean;2;1;44;56;Vitality Stadium (Bournemouth- Dorset);;;;;;;;;;;;;;;;;;
Oct 05 2018 - 7:00pm;30544;Brighton & Hove Albion;West Ham United;Kevin Friend;1;0;35;65;The American Express Community Stadium (Falmer- East Sussex);;;;;;;;;;;;;;;;;;
Oct 06 2018 - 2:00pm;20533;Burnley;Huddersfield Town;Chris Kavanagh;1;1;31;69;Turf Moor (Burnley);;;;;;;;;;;;;;;;;;
Oct 06 2018 - 2:00pm;25715;Crystal Palace;Wolverhampton Wanderers;Michael Oliver;0;1;67;33;Selhurst Park (London);;;;;;;;;;;;;;;;;;
Oct 06 2018 - 2:00pm;32007;Leicester City;Everton;Andre Marriner;1;2;51;49;King Power Stadium (Leicester- Leicestershire);;;;;;;;;;;;;;;;;;
Oct 06 2018 - 2:00pm;43268;Tottenham Hotspur;Cardiff City;Mike Dean;1;0;75;25;Wembley Stadium (London);;;;;;;;;;;;;;;;;;
Oct 06 2018 - 2:00pm;20139;Watford;AFC Bournemouth;Jonathan Moss;0;4;47;53;Vicarage Road (Watford);;;;;;;;;;;;;;;;;;
Oct 06 2018 - 4:30pm;74519;Manchester United;Newcastle United;Anthony Taylor;3;2;73;27;Old Trafford (Manchester);;;;;;;;;;;;;;;;;;
Oct 07 2018 - 11:00am;25401;Fulham;Arsenal;Paul Tierney;1;5;48;52;Craven Cottage (London);;;;;;;;;;;;;;;;;;
Oct 07 2018 - 1:15pm;27077;Southampton;Chelsea;Craig Pawson;0;3;34;66;St. Mary's Stadium (Southampton- Hampshire);;;;;;;;;;;;;;;;;;
Oct 07 2018 - 3:30pm;52117;Liverpool;Manchester City;Martin Atkinson;0;0;49;51;Anfield (Liverpool);;;;;;;;;;;;;;;;;;
Oct 20 2018 - 11:30am;40721;Chelsea;Manchester United;Mike Dean;2;2;62;38;Stamford Bridge (London);;;;;;;;;;;;;;;;;;
