full_name;age;season;position;Current Club;minutes_played_overall;nationality;goals_overall;assists_overall;penalty_goals;yellow_cards_overall;red_cards_overall
Callum Wilson;30;2018/2019;Forward;AFC Bournemouth;2535;England;14;9;1;3;0
Calum Chambers;27;2018/2019;Defender;Fulham;2587;England;2;0;0;9;0
Cameron John;23;2018/2019;Defender;Wolverhampton Wanderers;0;England;0;0;0;0;0
Carl Jenkinson;30;2018/2019;Defender;Arsenal;166;England;0;0;0;0;0
Carlos S�nchez;36;2018/2019;Midfielder;West Ham United;240;Colombia;0;0;0;0;0
Cedric Soares;31;2018/2019;Defender;Southampton;1494;Portugal;1;2;0;4;0
Cenk Tosun;31;2018/2019;Forward;Everton;1050;Turkey;3;3;0;3;0
Cesar Azpilicueta;33;2018/2019;Defender;Chelsea;3403;Spain;1;5;0;4;0
Cesc Fabregas;35;2018/2019;Midfielder;Chelsea;175;Spain;0;0;0;1;0
Charlie Austin;33;2018/2019;Forward;Southampton;980;England;2;2;0;1;0
Charlie Daniels;36;2018/2019;Defender;AFC Bournemouth;1583;England;1;0;0;4;0
Charlie Taylor;29;2018/2019;Defender;Burnley;3240;England;0;1;0;2;0
Cheikhou Kouyat�;32;2018/2019;Midfielder;Crystal Palace;1897;Senegal;0;2;0;3;0
Chris L�we;33;2018/2019;Defender;Huddersfield Town;2056;Germany;0;2;0;2;0
Chris Mepham;24;2018/2019;Defender;AFC Bournemouth;849;Wales;0;1;0;1;0
Chris Smalling;32;2018/2019;Defender;Manchester United;2128;England;1;0;0;1;0
Chris Wood;30;2018/2019;Forward;Burnley;2582;New Zealand;10;2;0;2;0
Christian Atsu Twasam;30;2018/2019;Midfielder;Newcastle United;1487;Ghana;1;0;0;2;0
Christian Benteke;31;2018/2019;Forward;Crystal Palace;813;Belgium;1;1;0;1;0
Christian Eriksen;30;2018/2019;Midfielder;Tottenham Hotspur;2772;Denmark;8;12;0;3;0
Christian Fuchs;36;2018/2019;Defender;Leicester City;206;Austria;0;0;0;0;0
Christian Kabasele;31;2018/2019;Defender;Watford;1587;Belgium;0;0;0;4;1
Christopher Schindler;32;2018/2019;Defender;Huddersfield Town;3262;Germany;1;0;0;6;1
Ciaran Clark;33;2018/2019;Defender;Newcastle United;857;Republic of Ireland;3;0;0;1;0
Claudio Andr�s Bravo Mu�oz;39;2018/2019;Goalkeeper;Manchester City;0;Chile;0;0;0;0;0
Collin Quaner;31;2018/2019;Forward;Huddersfield Town;37;Germany;0;0;0;0;0
Connor Wickham;29;2018/2019;Forward;Crystal Palace;61;England;0;1;0;0;0
Conor Coady;29;2018/2019;Midfielder;Wolverhampton Wanderers;3420;England;0;0;0;5;0
Conor Coventry;22;2018/2019;Midfielder;West Ham United;0;Republic of Ireland;0;0;0;0;0
Craig Cathcart;33;2018/2019;Defender;Watford;3099;Northern Ireland;3;0;0;2;0
Curtis Jones;21;2018/2019;Midfielder;Liverpool;0;England;0;0;0;0;0
Cyrus Christie;30;2018/2019;Defender;Fulham;1943;Republic of Ireland;0;1;0;7;0
Dale Stephens;33;2018/2019;Midfielder;Brighton & Hove Albion;2487;England;1;1;0;7;1
Dami�n Emiliano Mart�nez;30;2018/2019;Goalkeeper;Arsenal;0;Argentina;0;0;0;0;0
Dan Burn;30;2018/2019;Defender;Brighton & Hove Albion;0;England;0;0;0;0;0
Dan Gosling;32;2018/2019;Midfielder;AFC Bournemouth;1737;England;2;1;0;8;0
Daniel Amartey;27;2018/2019;Midfielder;Leicester City;640;Ghana;0;0;0;2;0
Daniel Sturridge;33;2018/2019;Forward;Liverpool;496;England;2;1;0;1;0
Daniel William John Ings;30;2018/2019;Forward;Southampton;1668;England;7;3;3;1;0
Daniel Williams;33;2018/2019;Midfielder;Huddersfield Town;93;USA;0;0;0;1;0
Danilo;31;2018/2019;Defender;Manchester City;806;Brazil;1;0;0;1;0
Danny Drinkwater;32;2018/2019;Midfielder;Chelsea;0;England;0;0;0;0;0
Danny Rose;32;2018/2019;Defender;Tottenham Hotspur;1806;England;0;3;0;5;0
Danny Simpson;35;2018/2019;Defender;Leicester City;291;England;0;0;0;0;0
Danny Ward;29;2018/2019;Goalkeeper;Leicester City;0;Wales;0;0;0;0;0
Danny Ward;31;2018/2019;Forward;Cardiff City;440;England;1;0;0;0;0
Danny Welbeck;31;2018/2019;Forward;Arsenal;147;England;1;1;0;0;0
Daryl Janmaat;33;2018/2019;Defender;Watford;1521;Netherlands;0;2;0;3;0
David Brooks;25;2018/2019;Forward;AFC Bournemouth;2278;England;7;5;0;3;0
